Border,Date,Measure,Value,Average
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,910576,958937
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicles,29147,52262
US-Mexico Border,12/01/2018 12:00:00 AM,Bus Passengers,18880,19542
US-Mexico Border,12/01/2018 12:00:00 AM,Trucks,18678,20453
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Empty,17767,18022
US-Mexico Border,12/01/2018 12:00:00 AM,Pedestrians,14207,29966
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Empty,8223,8749
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Full,3974,5158
US-Mexico Border,12/01/2018 12:00:00 AM,Buses,2995,3057
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,2092,16202
US-Canada Border,12/01/2018 12:00:00 AM,Trucks,1741,3240
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Empty,1335,1877
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Full,1168,2181
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Full,887,1525
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Full,722,873
US-Canada Border,12/01/2018 12:00:00 AM,Bus Passengers,625,956
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicles,395,7688
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Empty,259,472
US-Mexico Border,12/01/2018 12:00:00 AM,Train Passengers,183,187
US-Mexico Border,12/01/2018 12:00:00 AM,Trains,61,65
US-Canada Border,12/01/2018 12:00:00 AM,Trains,55,62
US-Canada Border,12/01/2018 12:00:00 AM,Train Passengers,24,71
US-Canada Border,12/01/2018 12:00:00 AM,Pedestrians,8,83
US-Canada Border,12/01/2018 12:00:00 AM,Buses,1,16
US-Mexico Border,12/01/2017 12:00:00 AM,Personal Vehicles,1027086,1056104
US-Mexico Border,12/01/2017 12:00:00 AM,Personal Vehicle Passengers,982502,1035436
US-Mexico Border,12/01/2017 12:00:00 AM,Trucks,58110,60102
US-Canada Border,12/01/2017 12:00:00 AM,Personal Vehicle Passengers,34611,49640
US-Mexico Border,12/01/2017 12:00:00 AM,Bus Passengers,22359,23027
US-Mexico Border,12/01/2017 12:00:00 AM,Pedestrians,21805,37420
US-Canada Border,12/01/2017 12:00:00 AM,Personal Vehicles,7761,15523
US-Mexico Border,12/01/2017 12:00:00 AM,Truck Containers Full,2919,4148
US-Mexico Border,12/01/2017 12:00:00 AM,Rail Containers Empty,2782,2959
US-Canada Border,12/01/2017 12:00:00 AM,Rail Containers Empty,1931,2161
US-Mexico Border,12/01/2017 12:00:00 AM,Buses,1851,1913
US-Canada Border,12/01/2017 12:00:00 AM,Trucks,927,2511
US-Mexico Border,12/01/2017 12:00:00 AM,Train Passengers,740,747
US-Canada Border,12/01/2017 12:00:00 AM,Truck Containers Empty,459,917
US-Canada Border,12/01/2017 12:00:00 AM,Rail Containers Full,271,821
US-Mexico Border,12/01/2017 12:00:00 AM,Truck Containers Empty,134,675
US-Mexico Border,12/01/2017 12:00:00 AM,Trains,122,126
US-Canada Border,12/01/2017 12:00:00 AM,Bus Passengers,65,450
US-Canada Border,12/01/2017 12:00:00 AM,Truck Containers Full,57,1213
US-Canada Border,12/01/2017 12:00:00 AM,Train Passengers,40,91
US-Mexico Border,12/01/2017 12:00:00 AM,Rail Containers Full,19,170
US-Canada Border,12/01/2017 12:00:00 AM,Trains,15,22
US-Canada Border,12/01/2017 12:00:00 AM,Pedestrians,12,75
US-Canada Border,12/01/2017 12:00:00 AM,Buses,4,20
US-Mexico Border,12/01/2016 12:00:00 AM,Personal Vehicle Passengers,1871250,1929110
US-Mexico Border,12/01/2016 12:00:00 AM,Personal Vehicles,1126342,1156878
US-Mexico Border,12/01/2016 12:00:00 AM,Trucks,29439,31433
US-Mexico Border,12/01/2016 12:00:00 AM,Bus Passengers,5831,6477
US-Mexico Border,12/01/2016 12:00:00 AM,Rail Containers Empty,5567,5742
US-Canada Border,12/01/2016 12:00:00 AM,Bus Passengers,4517,4953
US-Canada Border,12/01/2016 12:00:00 AM,Truck Containers Empty,3442,3785
US-Mexico Border,12/01/2016 12:00:00 AM,Rail Containers Full,3232,3405
US-Mexico Border,12/01/2016 12:00:00 AM,Pedestrians,2320,17241
US-Canada Border,12/01/2016 12:00:00 AM,Personal Vehicle Passengers,1695,16289
US-Canada Border,12/01/2016 12:00:00 AM,Rail Containers Full,1572,2091
US-Canada Border,12/01/2016 12:00:00 AM,Personal Vehicles,1515,9494
US-Canada Border,12/01/2016 12:00:00 AM,Trucks,606,2321
US-Mexico Border,12/01/2016 12:00:00 AM,Truck Containers Empty,375,988
US-Canada Border,12/01/2016 12:00:00 AM,Truck Containers Full,354,1710
US-Mexico Border,12/01/2016 12:00:00 AM,Train Passengers,252,257
US-Canada Border,12/01/2016 12:00:00 AM,Train Passengers,180,241
US-Mexico Border,12/01/2016 12:00:00 AM,Trains,58,62
US-Mexico Border,12/01/2016 12:00:00 AM,Truck Containers Full,45,1301
US-Canada Border,12/01/2016 12:00:00 AM,Trains,30,40
US-Canada Border,12/01/2016 12:00:00 AM,Rail Containers Empty,21,214
US-Mexico Border,12/01/2016 12:00:00 AM,Buses,13,77
US-Canada Border,12/01/2016 12:00:00 AM,Pedestrians,0,57
US-Canada Border,12/01/2016 12:00:00 AM,Buses,0,19
US-Mexico Border,12/01/2015 12:00:00 AM,Personal Vehicles,388351,417399
US-Mexico Border,12/01/2015 12:00:00 AM,Pedestrians,302835,320029
US-Mexico Border,12/01/2015 12:00:00 AM,Personal Vehicle Passengers,48958,102147
US-Mexico Border,12/01/2015 12:00:00 AM,Bus Passengers,48891,50028
US-Canada Border,12/01/2015 12:00:00 AM,Trucks,11109,13009
US-Mexico Border,12/01/2015 12:00:00 AM,Rail Containers Empty,5842,6030
US-Mexico Border,12/01/2015 12:00:00 AM,Truck Containers Empty,1014,1578
US-Mexico Border,12/01/2015 12:00:00 AM,Trucks,697,2540
US-Canada Border,12/01/2015 12:00:00 AM,Buses,570,595
US-Canada Border,12/01/2015 12:00:00 AM,Personal Vehicle Passengers,508,16216
US-Canada Border,12/01/2015 12:00:00 AM,Truck Containers Full,376,1723
US-Mexico Border,12/01/2015 12:00:00 AM,Buses,134,214
US-Canada Border,12/01/2015 12:00:00 AM,Truck Containers Empty,41,384
US-Mexico Border,12/01/2015 12:00:00 AM,Truck Containers Full,0,1266
US-Mexico Border,12/01/2015 12:00:00 AM,Trains,0,4
US-Canada Border,12/01/2015 12:00:00 AM,Trains,0,10
US-Mexico Border,12/01/2015 12:00:00 AM,Train Passengers,0,4
US-Canada Border,12/01/2015 12:00:00 AM,Train Passengers,0,59
US-Mexico Border,12/01/2015 12:00:00 AM,Rail Containers Full,0,164
US-Canada Border,12/01/2015 12:00:00 AM,Rail Containers Full,0,540
US-Canada Border,12/01/2015 12:00:00 AM,Rail Containers Empty,0,208
US-Canada Border,12/01/2015 12:00:00 AM,Personal Vehicles,0,8584
US-Canada Border,12/01/2015 12:00:00 AM,Pedestrians,0,78
US-Canada Border,12/01/2015 12:00:00 AM,Bus Passengers,0,460
US-Mexico Border,12/01/2014 12:00:00 AM,Personal Vehicle Passengers,2193520,2256961
US-Mexico Border,12/01/2014 12:00:00 AM,Personal Vehicles,585563,616027
US-Mexico Border,12/01/2014 12:00:00 AM,Pedestrians,334009,352289
US-Mexico Border,12/01/2014 12:00:00 AM,Bus Passengers,44543,45815
US-Canada Border,12/01/2014 12:00:00 AM,Personal Vehicles,36673,47434
US-Mexico Border,12/01/2014 12:00:00 AM,Rail Containers Empty,4914,5103
US-Mexico Border,12/01/2014 12:00:00 AM,Rail Containers Full,3545,3721
US-Canada Border,12/01/2014 12:00:00 AM,Personal Vehicle Passengers,3377,23035
US-Mexico Border,12/01/2014 12:00:00 AM,Trucks,3129,5044
US-Canada Border,12/01/2014 12:00:00 AM,Trucks,439,2405
US-Mexico Border,12/01/2014 12:00:00 AM,Truck Containers Empty,204,662
US-Canada Border,12/01/2014 12:00:00 AM,Truck Containers Empty,112,557
US-Mexico Border,12/01/2014 12:00:00 AM,Trains,57,61
US-Mexico Border,12/01/2014 12:00:00 AM,Truck Containers Full,27,1212
US-Canada Border,12/01/2014 12:00:00 AM,Pedestrians,27,115
US-Canada Border,12/01/2014 12:00:00 AM,Trains,20,30
US-Mexico Border,12/01/2014 12:00:00 AM,Buses,17,100
US-Canada Border,12/01/2014 12:00:00 AM,Buses,2,27
US-Canada Border,12/01/2014 12:00:00 AM,Truck Containers Full,0,1370
US-Mexico Border,12/01/2014 12:00:00 AM,Train Passengers,0,4
US-Canada Border,12/01/2014 12:00:00 AM,Train Passengers,0,67
US-Canada Border,12/01/2014 12:00:00 AM,Rail Containers Full,0,599
US-Canada Border,12/01/2014 12:00:00 AM,Rail Containers Empty,0,269
US-Canada Border,12/01/2014 12:00:00 AM,Bus Passengers,0,554
US-Mexico Border,12/01/2013 12:00:00 AM,Personal Vehicles,968596,1001010
US-Canada Border,12/01/2013 12:00:00 AM,Personal Vehicle Passengers,56933,79308
US-Mexico Border,12/01/2013 12:00:00 AM,Personal Vehicle Passengers,51857,106566
US-Mexico Border,12/01/2013 12:00:00 AM,Trucks,25550,27523
US-Mexico Border,12/01/2013 12:00:00 AM,Pedestrians,5958,24536
US-Mexico Border,12/01/2013 12:00:00 AM,Bus Passengers,2362,3556
US-Canada Border,12/01/2013 12:00:00 AM,Trucks,666,2589
US-Canada Border,12/01/2013 12:00:00 AM,Personal Vehicles,378,12121
US-Mexico Border,12/01/2013 12:00:00 AM,Truck Containers Empty,200,625
US-Canada Border,12/01/2013 12:00:00 AM,Train Passengers,62,134
US-Canada Border,12/01/2013 12:00:00 AM,Truck Containers Full,40,1436
US-Mexico Border,12/01/2013 12:00:00 AM,Trains,20,24
US-Canada Border,12/01/2013 12:00:00 AM,Buses,2,31
US-Mexico Border,12/01/2013 12:00:00 AM,Truck Containers Full,0,1086
US-Canada Border,12/01/2013 12:00:00 AM,Truck Containers Empty,0,422
US-Canada Border,12/01/2013 12:00:00 AM,Trains,0,11
US-Mexico Border,12/01/2013 12:00:00 AM,Train Passengers,0,1
US-Mexico Border,12/01/2013 12:00:00 AM,Rail Containers Full,0,155
US-Canada Border,12/01/2013 12:00:00 AM,Rail Containers Full,0,562
US-Mexico Border,12/01/2013 12:00:00 AM,Rail Containers Empty,0,163
US-Canada Border,12/01/2013 12:00:00 AM,Rail Containers Empty,0,256
US-Canada Border,12/01/2013 12:00:00 AM,Pedestrians,0,64
US-Mexico Border,12/01/2013 12:00:00 AM,Buses,0,88
US-Canada Border,12/01/2013 12:00:00 AM,Bus Passengers,0,664
US-Mexico Border,12/01/2012 12:00:00 AM,Pedestrians,212386,232760
US-Canada Border,12/01/2012 12:00:00 AM,Personal Vehicle Passengers,57491,81654
US-Mexico Border,12/01/2012 12:00:00 AM,Personal Vehicle Passengers,51118,105416
US-Mexico Border,12/01/2012 12:00:00 AM,Personal Vehicles,29313,57087
US-Mexico Border,12/01/2012 12:00:00 AM,Truck Containers Full,11901,13201
US-Canada Border,12/01/2012 12:00:00 AM,Trucks,2857,4794
US-Canada Border,12/01/2012 12:00:00 AM,Personal Vehicles,2245,14794
US-Canada Border,12/01/2012 12:00:00 AM,Truck Containers Full,1564,2988
US-Mexico Border,12/01/2012 12:00:00 AM,Bus Passengers,898,2201
US-Canada Border,12/01/2012 12:00:00 AM,Rail Containers Full,826,1420
US-Canada Border,12/01/2012 12:00:00 AM,Truck Containers Empty,281,760
US-Mexico Border,12/01/2012 12:00:00 AM,Trucks,2,1826
US-Mexico Border,12/01/2012 12:00:00 AM,Truck Containers Empty,0,579
US-Mexico Border,12/01/2012 12:00:00 AM,Trains,0,4
US-Canada Border,12/01/2012 12:00:00 AM,Trains,0,11
US-Mexico Border,12/01/2012 12:00:00 AM,Train Passengers,0,2
US-Canada Border,12/01/2012 12:00:00 AM,Train Passengers,0,62
US-Mexico Border,12/01/2012 12:00:00 AM,Rail Containers Full,0,161
US-Mexico Border,12/01/2012 12:00:00 AM,Rail Containers Empty,0,148
US-Canada Border,12/01/2012 12:00:00 AM,Rail Containers Empty,0,275
US-Canada Border,12/01/2012 12:00:00 AM,Pedestrians,0,83
US-Mexico Border,12/01/2012 12:00:00 AM,Buses,0,98
US-Canada Border,12/01/2012 12:00:00 AM,Buses,0,31
US-Canada Border,12/01/2012 12:00:00 AM,Bus Passengers,0,739
US-Mexico Border,12/01/2011 12:00:00 AM,Personal Vehicles,751888,783850
US-Mexico Border,12/01/2011 12:00:00 AM,Pedestrians,66704,86705
US-Mexico Border,12/01/2011 12:00:00 AM,Personal Vehicle Passengers,47724,101620
US-Mexico Border,12/01/2011 12:00:00 AM,Rail Containers Empty,10296,10529
US-Canada Border,12/01/2011 12:00:00 AM,Bus Passengers,3217,4082
US-Canada Border,12/01/2011 12:00:00 AM,Personal Vehicles,2289,15542
US-Mexico Border,12/01/2011 12:00:00 AM,Truck Containers Full,2094,3368
US-Canada Border,12/01/2011 12:00:00 AM,Personal Vehicle Passengers,1393,26518
US-Canada Border,12/01/2011 12:00:00 AM,Rail Containers Empty,1315,1597
US-Mexico Border,12/01/2011 12:00:00 AM,Buses,701,806
US-Mexico Border,12/01/2011 12:00:00 AM,Rail Containers Full,597,752
US-Mexico Border,12/01/2011 12:00:00 AM,Trucks,313,2315
US-Canada Border,12/01/2011 12:00:00 AM,Trains,277,291
US-Canada Border,12/01/2011 12:00:00 AM,Truck Containers Full,154,1578
US-Mexico Border,12/01/2011 12:00:00 AM,Trains,116,120
US-Canada Border,12/01/2011 12:00:00 AM,Trucks,77,2248
US-Canada Border,12/01/2011 12:00:00 AM,Truck Containers Empty,72,499
US-Canada Border,12/01/2011 12:00:00 AM,Buses,23,61
US-Mexico Border,12/01/2011 12:00:00 AM,Truck Containers Empty,0,594
US-Mexico Border,12/01/2011 12:00:00 AM,Train Passengers,0,2
US-Canada Border,12/01/2011 12:00:00 AM,Train Passengers,0,83
US-Canada Border,12/01/2011 12:00:00 AM,Rail Containers Full,0,599
US-Canada Border,12/01/2011 12:00:00 AM,Pedestrians,0,125
US-Mexico Border,12/01/2011 12:00:00 AM,Bus Passengers,0,1288
US-Mexico Border,12/01/2010 12:00:00 AM,Personal Vehicle Passengers,314198,373692
US-Mexico Border,12/01/2010 12:00:00 AM,Pedestrians,251330,273901
US-Mexico Border,12/01/2010 12:00:00 AM,Personal Vehicles,64200,95275
US-Mexico Border,12/01/2010 12:00:00 AM,Truck Containers Empty,12544,13312
US-Canada Border,12/01/2010 12:00:00 AM,Trucks,10277,12583
US-Mexico Border,12/01/2010 12:00:00 AM,Rail Containers Full,6004,6189
US-Canada Border,12/01/2010 12:00:00 AM,Personal Vehicles,4086,16878
US-Mexico Border,12/01/2010 12:00:00 AM,Truck Containers Full,2561,3968
US-Mexico Border,12/01/2010 12:00:00 AM,Bus Passengers,2016,3548
US-Canada Border,12/01/2010 12:00:00 AM,Personal Vehicle Passengers,1717,25676
US-Mexico Border,12/01/2010 12:00:00 AM,Trucks,1713,3826
US-Canada Border,12/01/2010 12:00:00 AM,Truck Containers Full,705,2397
US-Canada Border,12/01/2010 12:00:00 AM,Truck Containers Empty,593,1064
US-Mexico Border,12/01/2010 12:00:00 AM,Rail Containers Empty,406,576
US-Mexico Border,12/01/2010 12:00:00 AM,Buses,168,275
US-Canada Border,12/01/2010 12:00:00 AM,Train Passengers,36,107
US-Canada Border,12/01/2010 12:00:00 AM,Buses,17,57
US-Canada Border,12/01/2010 12:00:00 AM,Pedestrians,1,105
US-Mexico Border,12/01/2010 12:00:00 AM,Trains,0,3
US-Canada Border,12/01/2010 12:00:00 AM,Trains,0,12
US-Mexico Border,12/01/2010 12:00:00 AM,Train Passengers,0,1
US-Canada Border,12/01/2010 12:00:00 AM,Rail Containers Full,0,554
US-Canada Border,12/01/2010 12:00:00 AM,Rail Containers Empty,0,275
US-Canada Border,12/01/2010 12:00:00 AM,Bus Passengers,0,787
US-Mexico Border,12/01/2009 12:00:00 AM,Personal Vehicles,810222,850821
US-Mexico Border,12/01/2009 12:00:00 AM,Personal Vehicle Passengers,468024,546274
US-Mexico Border,12/01/2009 12:00:00 AM,Pedestrians,318714,342826
US-Canada Border,12/01/2009 12:00:00 AM,Bus Passengers,57728,59021
US-Mexico Border,12/01/2009 12:00:00 AM,Trucks,55638,58128
US-Canada Border,12/01/2009 12:00:00 AM,Truck Containers Full,11770,13731
US-Canada Border,12/01/2009 12:00:00 AM,Trucks,9669,12148
US-Canada Border,12/01/2009 12:00:00 AM,Personal Vehicle Passengers,6293,31085
US-Canada Border,12/01/2009 12:00:00 AM,Personal Vehicles,3625,15987
US-Canada Border,12/01/2009 12:00:00 AM,Train Passengers,435,526
US-Canada Border,12/01/2009 12:00:00 AM,Truck Containers Empty,102,617
US-Mexico Border,12/01/2009 12:00:00 AM,Truck Containers Empty,49,794
US-Mexico Border,12/01/2009 12:00:00 AM,Truck Containers Full,25,1427
US-Canada Border,12/01/2009 12:00:00 AM,Buses,7,51
US-Canada Border,12/01/2009 12:00:00 AM,Pedestrians,1,97
US-Mexico Border,12/01/2009 12:00:00 AM,Trains,0,4
US-Canada Border,12/01/2009 12:00:00 AM,Trains,0,12
US-Mexico Border,12/01/2009 12:00:00 AM,Train Passengers,0,2
US-Mexico Border,12/01/2009 12:00:00 AM,Rail Containers Full,0,140
US-Canada Border,12/01/2009 12:00:00 AM,Rail Containers Full,0,528
US-Mexico Border,12/01/2009 12:00:00 AM,Rail Containers Empty,0,177
US-Canada Border,12/01/2009 12:00:00 AM,Rail Containers Empty,0,239
US-Mexico Border,12/01/2009 12:00:00 AM,Buses,0,121
US-Mexico Border,12/01/2009 12:00:00 AM,Bus Passengers,0,1303
US-Mexico Border,12/01/2008 12:00:00 AM,Personal Vehicles,423515,468860
US-Mexico Border,12/01/2008 12:00:00 AM,Pedestrians,254340,280743
US-Mexico Border,12/01/2008 12:00:00 AM,Personal Vehicle Passengers,65937,151326
US-Mexico Border,12/01/2008 12:00:00 AM,Bus Passengers,28858,30684
US-Canada Border,12/01/2008 12:00:00 AM,Truck Containers Empty,10932,11433
US-Mexico Border,12/01/2008 12:00:00 AM,Rail Containers Full,10805,11033
US-Canada Border,12/01/2008 12:00:00 AM,Personal Vehicle Passengers,9929,32713
US-Mexico Border,12/01/2008 12:00:00 AM,Truck Containers Full,8017,9357
US-Mexico Border,12/01/2008 12:00:00 AM,Train Passengers,632,648
US-Mexico Border,12/01/2008 12:00:00 AM,Rail Containers Empty,622,841
US-Canada Border,12/01/2008 12:00:00 AM,Personal Vehicles,579,12411
US-Mexico Border,12/01/2008 12:00:00 AM,Trains,158,164
US-Mexico Border,12/01/2008 12:00:00 AM,Buses,88,229
US-Canada Border,12/01/2008 12:00:00 AM,Trucks,40,2511
US-Canada Border,12/01/2008 12:00:00 AM,Buses,9,57
US-Mexico Border,12/01/2008 12:00:00 AM,Trucks,0,2137
US-Canada Border,12/01/2008 12:00:00 AM,Truck Containers Full,0,1857
US-Mexico Border,12/01/2008 12:00:00 AM,Truck Containers Empty,0,836
US-Canada Border,12/01/2008 12:00:00 AM,Trains,0,12
US-Canada Border,12/01/2008 12:00:00 AM,Train Passengers,0,52
US-Canada Border,12/01/2008 12:00:00 AM,Rail Containers Full,0,529
US-Canada Border,12/01/2008 12:00:00 AM,Rail Containers Empty,0,242
US-Canada Border,12/01/2008 12:00:00 AM,Pedestrians,0,112
US-Canada Border,12/01/2008 12:00:00 AM,Bus Passengers,0,1049
US-Mexico Border,12/01/2007 12:00:00 AM,Personal Vehicle Passengers,1245774,1356473
US-Canada Border,12/01/2007 12:00:00 AM,Bus Passengers,74845,77150
US-Mexico Border,12/01/2007 12:00:00 AM,Personal Vehicles,62248,112142
US-Mexico Border,12/01/2007 12:00:00 AM,Truck Containers Empty,12836,13866
US-Canada Border,12/01/2007 12:00:00 AM,Personal Vehicle Passengers,8922,39653
US-Mexico Border,12/01/2007 12:00:00 AM,Pedestrians,5210,38736
US-Canada Border,12/01/2007 12:00:00 AM,Personal Vehicles,4224,19470
US-Canada Border,12/01/2007 12:00:00 AM,Trucks,3715,6779
US-Mexico Border,12/01/2007 12:00:00 AM,Bus Passengers,2180,4720
US-Mexico Border,12/01/2007 12:00:00 AM,Trucks,2153,4683
US-Mexico Border,12/01/2007 12:00:00 AM,Buses,726,897
US-Canada Border,12/01/2007 12:00:00 AM,Rail Containers Full,179,944
US-Canada Border,12/01/2007 12:00:00 AM,Train Passengers,66,163
US-Mexico Border,12/01/2007 12:00:00 AM,Truck Containers Full,40,1608
US-Mexico Border,12/01/2007 12:00:00 AM,Rail Containers Empty,32,278
US-Canada Border,12/01/2007 12:00:00 AM,Truck Containers Empty,10,572
US-Canada Border,12/01/2007 12:00:00 AM,Buses,3,64
US-Canada Border,12/01/2007 12:00:00 AM,Truck Containers Full,0,2456
US-Mexico Border,12/01/2007 12:00:00 AM,Trains,0,6
US-Canada Border,12/01/2007 12:00:00 AM,Trains,0,17
US-Mexico Border,12/01/2007 12:00:00 AM,Train Passengers,0,11
US-Mexico Border,12/01/2007 12:00:00 AM,Rail Containers Full,0,184
US-Canada Border,12/01/2007 12:00:00 AM,Rail Containers Empty,0,316
US-Canada Border,12/01/2007 12:00:00 AM,Pedestrians,0,140
US-Mexico Border,12/01/2006 12:00:00 AM,Personal Vehicle Passengers,756804,883308
US-Mexico Border,12/01/2006 12:00:00 AM,Personal Vehicles,66978,124398
US-Mexico Border,12/01/2006 12:00:00 AM,Pedestrians,34739,70609
US-Mexico Border,12/01/2006 12:00:00 AM,Truck Containers Empty,11091,12215
US-Canada Border,12/01/2006 12:00:00 AM,Rail Containers Full,10267,11188
US-Mexico Border,12/01/2006 12:00:00 AM,Rail Containers Full,8163,8463
US-Mexico Border,12/01/2006 12:00:00 AM,Rail Containers Empty,7181,7514
US-Mexico Border,12/01/2006 12:00:00 AM,Trucks,2429,5171
US-Mexico Border,12/01/2006 12:00:00 AM,Truck Containers Full,1271,2964
US-Canada Border,12/01/2006 12:00:00 AM,Personal Vehicle Passengers,895,34701
US-Canada Border,12/01/2006 12:00:00 AM,Personal Vehicles,366,17505
US-Mexico Border,12/01/2006 12:00:00 AM,Trains,343,352
US-Canada Border,12/01/2006 12:00:00 AM,Bus Passengers,113,1805
US-Mexico Border,12/01/2006 12:00:00 AM,Buses,94,282
US-Canada Border,12/01/2006 12:00:00 AM,Truck Containers Empty,8,554
US-Canada Border,12/01/2006 12:00:00 AM,Buses,8,73
US-Canada Border,12/01/2006 12:00:00 AM,Trucks,0,3592
US-Canada Border,12/01/2006 12:00:00 AM,Truck Containers Full,0,2951
US-Canada Border,12/01/2006 12:00:00 AM,Trains,0,22
US-Mexico Border,12/01/2006 12:00:00 AM,Train Passengers,0,13
US-Canada Border,12/01/2006 12:00:00 AM,Train Passengers,0,105
US-Canada Border,12/01/2006 12:00:00 AM,Rail Containers Empty,0,307
US-Canada Border,12/01/2006 12:00:00 AM,Pedestrians,0,173
US-Mexico Border,12/01/2006 12:00:00 AM,Bus Passengers,0,2393
US-Mexico Border,12/01/2005 12:00:00 AM,Personal Vehicle Passengers,1107830,1260145
US-Mexico Border,12/01/2005 12:00:00 AM,Personal Vehicles,565945,638016
US-Mexico Border,12/01/2005 12:00:00 AM,Pedestrians,430888,470153
US-Canada Border,12/01/2005 12:00:00 AM,Personal Vehicles,44089,63219
US-Canada Border,12/01/2005 12:00:00 AM,Personal Vehicle Passengers,8295,47849
US-Mexico Border,12/01/2005 12:00:00 AM,Trucks,2562,5790
US-Mexico Border,12/01/2005 12:00:00 AM,Bus Passengers,2120,4521
US-Mexico Border,12/01/2005 12:00:00 AM,Truck Containers Empty,1763,2917
US-Canada Border,12/01/2005 12:00:00 AM,Trucks,1692,5921
US-Mexico Border,12/01/2005 12:00:00 AM,Truck Containers Full,885,2933
US-Canada Border,12/01/2005 12:00:00 AM,Truck Containers Empty,291,928
US-Mexico Border,12/01/2005 12:00:00 AM,Trains,138,146
US-Canada Border,12/01/2005 12:00:00 AM,Trains,91,117
US-Canada Border,12/01/2005 12:00:00 AM,Bus Passengers,60,1849
US-Mexico Border,12/01/2005 12:00:00 AM,Train Passengers,42,57
US-Canada Border,12/01/2005 12:00:00 AM,Truck Containers Full,26,3672
US-Canada Border,12/01/2005 12:00:00 AM,Pedestrians,3,207
US-Canada Border,12/01/2005 12:00:00 AM,Train Passengers,0,127
US-Mexico Border,12/01/2005 12:00:00 AM,Rail Containers Full,0,246
US-Canada Border,12/01/2005 12:00:00 AM,Rail Containers Full,0,1012
US-Mexico Border,12/01/2005 12:00:00 AM,Rail Containers Empty,0,314
US-Canada Border,12/01/2005 12:00:00 AM,Rail Containers Empty,0,326
US-Mexico Border,12/01/2005 12:00:00 AM,Buses,0,193
US-Canada Border,12/01/2005 12:00:00 AM,Buses,0,68
US-Mexico Border,12/01/2004 12:00:00 AM,Pedestrians,721414,770399
US-Mexico Border,12/01/2004 12:00:00 AM,Personal Vehicle Passengers,655772,820703
US-Mexico Border,12/01/2004 12:00:00 AM,Personal Vehicles,339785,418419
US-Mexico Border,12/01/2004 12:00:00 AM,Bus Passengers,56240,59496
US-Canada Border,12/01/2004 12:00:00 AM,Personal Vehicle Passengers,47877,89521
US-Canada Border,12/01/2004 12:00:00 AM,Personal Vehicles,27884,48806
US-Mexico Border,12/01/2004 12:00:00 AM,Trucks,26709,30285
US-Mexico Border,12/01/2004 12:00:00 AM,Truck Containers Full,3116,5205
US-Canada Border,12/01/2004 12:00:00 AM,Bus Passengers,269,2156
US-Canada Border,12/01/2004 12:00:00 AM,Truck Containers Empty,172,851
US-Canada Border,12/01/2004 12:00:00 AM,Trucks,133,4827
US-Mexico Border,12/01/2004 12:00:00 AM,Truck Containers Empty,54,1312
US-Canada Border,12/01/2004 12:00:00 AM,Trains,20,45
US-Mexico Border,12/01/2004 12:00:00 AM,Buses,13,228
US-Mexico Border,12/01/2004 12:00:00 AM,Rail Containers Full,3,250
US-Canada Border,12/01/2004 12:00:00 AM,Buses,3,82
US-Canada Border,12/01/2004 12:00:00 AM,Truck Containers Full,0,3956
US-Mexico Border,12/01/2004 12:00:00 AM,Trains,0,6
US-Mexico Border,12/01/2004 12:00:00 AM,Train Passengers,0,10
US-Canada Border,12/01/2004 12:00:00 AM,Train Passengers,0,116
US-Canada Border,12/01/2004 12:00:00 AM,Rail Containers Full,0,1121
US-Mexico Border,12/01/2004 12:00:00 AM,Rail Containers Empty,0,333
US-Canada Border,12/01/2004 12:00:00 AM,Rail Containers Empty,0,348
US-Canada Border,12/01/2004 12:00:00 AM,Pedestrians,0,226
US-Mexico Border,12/01/2003 12:00:00 AM,Personal Vehicle Passengers,311122,504720
US-Canada Border,12/01/2003 12:00:00 AM,Trucks,121076,127619
US-Mexico Border,12/01/2003 12:00:00 AM,Trucks,56486,60644
US-Mexico Border,12/01/2003 12:00:00 AM,Truck Containers Empty,43563,45476
US-Canada Border,12/01/2003 12:00:00 AM,Personal Vehicle Passengers,35874,83866
US-Mexico Border,12/01/2003 12:00:00 AM,Personal Vehicles,32788,116259
US-Mexico Border,12/01/2003 12:00:00 AM,Truck Containers Full,28109,30594
US-Mexico Border,12/01/2003 12:00:00 AM,Pedestrians,1958,50363
US-Canada Border,12/01/2003 12:00:00 AM,Truck Containers Empty,169,942
US-Canada Border,12/01/2003 12:00:00 AM,Train Passengers,168,327
US-Mexico Border,12/01/2003 12:00:00 AM,Train Passengers,42,54
US-Mexico Border,12/01/2003 12:00:00 AM,Buses,37,304
US-Mexico Border,12/01/2003 12:00:00 AM,Bus Passengers,37,3289
US-Mexico Border,12/01/2003 12:00:00 AM,Trains,21,28
